ax (m/s^2), ay (m/s^2), az (m/s^2), gx (rps), gy (rps), gz (rps), temp (C)
0.29209, 9.78031, -0.22027, -0.01905, 0.02385, 0.00986, 32.77404
0.29209, 9.84735, -0.18675, -0.00067, 0.02465, 0.01506, 32.58235
0.30406, 9.81862, -0.11013, 0.00879, 0.02132, 0.01998, 32.58235
0.31603, 9.82341, -0.13886, 0.00067, 0.02491, 0.01772, 32.63028
0.29449, 9.79947, -0.17717, 0.00413, 0.02944, 0.02012, 32.43858
0.28730, 9.78510, -0.12210, 0.00213, 0.02745, 0.01452, 32.43858
0.33279, 9.78510, -0.18435, 0.00333, 0.02571, 0.01998, 32.72612
0.29688, 9.83538, -0.14844, -0.00413, 0.02505, 0.02238, 32.72612
0.29928, 9.80905, -0.20590, 0.01839, 0.02598, 0.02358, 32.91781
0.30646, 9.79707, -0.19393, 0.00946, 0.02705, 0.01879, 32.77404
0.30167, 9.79707, -0.17957, 0.00506, 0.02545, 0.02438, 32.63028
0.34955, 9.78031, -0.16041, -0.01013, 0.02598, 0.02038, 32.58235
0.31364, 9.79947, -0.13886, 0.01479, 0.02611, 0.02278, 32.77404
0.28970, 9.80426, -0.16759, 0.01945, 0.02372, 0.02292, 32.53443
0.29688, 9.83538, -0.18914, -0.00266, 0.01652, 0.01892, 32.43858
0.30885, 9.83778, -0.21069, -0.00027, 0.02785, 0.01599, 32.53443
0.32082, 9.77553, -0.20590, 0.00133, 0.01905, 0.01306, 32.63028
0.35195, 9.79947, -0.16041, 0.01825, 0.03850, 0.02172, 32.58235
0.31364, 9.81144, -0.18196, 0.00493, 0.02611, 0.01812, 32.58235
0.35434, 9.79947, -0.16999, 0.00426, 0.03264, 0.02278, 32.77404
0.30406, 9.80665, -0.26815, 0.01053, 0.02571, 0.01879, 32.72612
0.32801, 9.85932, -0.17717, -0.00333, 0.01932, 0.01519, 32.43858
0.34237, 9.79947, -0.13886, -0.00147, 0.02585, 0.01412, 32.53443
0.28012, 9.83059, -0.18196, 0.00440, 0.02358, 0.01785, 32.82197
0.35195, 9.82820, -0.18675, 0.00693, 0.02745, 0.01825, 32.77404
0.32322, 9.79707, -0.13408, 0.01119, 0.02065, 0.02278, 32.58235
0.32322, 9.83538, -0.20590, 0.00240, 0.02705, 0.02065, 32.63028
0.26815, 9.78510, -0.13408, 0.01146, 0.02358, 0.02385, 32.58235
0.28012, 9.82820, -0.23942, -0.00160, 0.02425, 0.01919, 32.82197
0.27054, 9.83299, -0.12689, 0.01359, 0.03104, 0.02198, 32.53443
0.33040, 9.82102, -0.19632, 0.00346, 0.02771, 0.01772, 32.63028
0.30406, 9.87129, -0.20111, -0.00147, 0.02505, 0.01519, 32.39066
0.25618, 9.82341, -0.14365, 0.00440, 0.02798, 0.01759, 32.72612
0.31843, 9.82580, -0.17717, 0.00160, 0.02984, 0.01932, 32.72612
0.30885, 9.80905, -0.22027, -0.00120, 0.02785, 0.01252, 32.58235
0.28730, 9.81144, -0.15083, 0.02158, 0.03144, 0.02598, 32.58235
0.28491, 9.79468, -0.14126, 0.00640, 0.02651, 0.01359, 32.53443
0.30167, 9.79947, -0.21308, -0.00866, 0.02278, 0.01146, 32.72612
0.29928, 9.80426, -0.13886, -0.00413, 0.02718, 0.01958, 32.82197
0.30167, 9.80905, -0.14605, -0.00013, 0.02571, 0.01745, 32.58235
0.28730, 9.86172, -0.13408, -0.00959, 0.03504, 0.01919, 32.72612
0.25379, 9.80905, -0.12929, 0.00093, 0.01799, 0.01692, 32.72612
0.27294, 9.82820, -0.18675, -0.01132, 0.03704, 0.01719, 32.77404
0.28730, 9.82580, -0.12450, 0.02145, 0.03317, 0.01892, 32.82197
0.33040, 9.85932, -0.11013, 0.02332, 0.03184, 0.02318, 32.72612
0.28012, 9.76355, -0.10774, 0.02292, 0.02878, 0.02571, 32.63028
0.31364, 9.82580, -0.17478, -0.00879, 0.01785, 0.01972, 32.43858
0.27533, 9.79229, -0.17957, 0.02411, 0.02811, 0.01865, 32.72612
0.29209, 9.81383, -0.20111, 0.00600, 0.02638, 0.01266, 32.72612
0.30646, 9.83538, -0.21069, 0.00280, 0.02731, 0.01346, 32.58235
0.36152, 9.84017, -0.22984, 0.01692, 0.03424, 0.02252, 32.72612
0.31843, 9.82580, -0.08859, 0.00173, 0.02785, 0.01532, 32.58235
0.28730, 9.85214, -0.21787, 0.00373, 0.02531, 0.01652, 32.72612
0.26815, 9.79947, -0.19154, -0.00973, 0.02811, 0.01745, 32.77404
0.25139, 9.82580, -0.16041, 0.01013, 0.02918, 0.01506, 32.72612
0.31843, 9.82102, -0.15802, 0.01399, 0.02931, 0.01639, 32.72612
0.33998, 9.84256, -0.18914, -0.01532, 0.02904, 0.01452, 32.63028
0.30885, 9.79707, -0.17717, 0.00480, 0.02358, 0.01492, 32.63028
0.29449, 9.87129, -0.12450, -0.00653, 0.02105, 0.01466, 32.63028
0.28491, 9.83538, -0.20111, -0.00573, 0.02571, 0.02185, 32.63028
0.26336, 9.77792, -0.18914, -0.00187, 0.02638, 0.01892, 32.77404
0.33040, 9.80905, -0.15562, 0.00453, 0.02345, 0.02238, 32.58235
0.32082, 9.82580, -0.16520, 0.00653, 0.02372, 0.02065, 32.82197
0.30167, 9.82102, -0.18675, -0.00466, 0.02185, 0.01332, 32.72612
0.31364, 9.83059, -0.17717, -0.00013, 0.02625, 0.02105, 32.77404
0.25618, 9.84735, -0.12450, 0.00946, 0.02345, 0.01785, 32.72612
0.31603, 9.85214, -0.12929, -0.00906, 0.02984, 0.02105, 32.82197
0.28730, 9.82820, -0.17957, 0.00346, 0.02825, 0.02025, 32.72612
0.31125, 9.83299, -0.15802, -0.00213, 0.03251, 0.01692, 32.77404
0.32322, 9.80905, -0.20111, 0.01252, 0.02358, 0.01998, 32.72612
0.33998, 9.82580, -0.18196, 0.00560, 0.02878, 0.01759, 32.72612
0.28012, 9.82820, -0.17238, -0.00187, 0.02665, 0.01186, 32.39066
0.27533, 9.82820, -0.15562, 0.00280, 0.03078, 0.02425, 32.72612
0.30167, 9.82341, -0.17238, 0.00546, 0.02478, 0.02065, 32.82197
0.32322, 9.82580, -0.11732, 0.00866, 0.02065, 0.02212, 32.82197
0.32082, 9.83059, -0.18196, 0.00160, 0.02745, 0.01226, 32.58235
0.30167, 9.80426, -0.17957, 0.01319, 0.02851, 0.02172, 32.72612
0.28012, 9.83059, -0.17238, -0.01239, 0.02531, 0.01639, 32.58235
0.28252, 9.85932, -0.18435, 0.00413, 0.02705, 0.01852, 32.72612
0.32561, 9.81144, -0.10774, 0.02651, 0.03104, 0.02825, 33.10950
0.30885, 9.84496, -0.09098, -0.01119, 0.02811, 0.01226, 32.72612
0.28491, 9.80426, -0.17238, 0.00187, 0.02065, 0.02358, 32.72612
0.28970, 9.84735, -0.13168, 0.00386, 0.02305, 0.01625, 32.72612
0.31125, 9.82820, -0.14844, -0.00080, 0.02864, 0.02092, 32.82197
0.30646, 9.81623, -0.14126, 0.00973, 0.02372, 0.01945, 32.91781
0.30167, 9.84496, -0.11732, -0.00320, 0.03224, 0.01332, 32.72612
0.29449, 9.80905, -0.12450, 0.00919, 0.03251, 0.01732, 32.72612
0.31603, 9.82341, -0.18435, 0.00959, 0.02958, 0.01985, 32.58235
0.27294, 9.80426, -0.17957, 0.01013, 0.03384, 0.01905, 33.10950
