ax (m/s^2), ay (m/s^2), az (m/s^2), gx (rps), gy (rps), gz (rps), temp (C)
0.05986, 0.27054, 10.30943, 0.00173, 0.05609, 0.00879, 31.38428
0.02394, 0.25618, 10.31422, 0.00240, 0.03451, 0.00999, 31.52805
0.00239, 0.22984, 10.36211, 0.00293, 0.02278, 0.01506, 31.48013
0.05028, 0.22266, 10.25437, 0.00573, -0.04676, 0.01506, 31.38428
0.06704, 0.24660, 10.28310, 0.00187, 0.05436, 0.01346, 31.57597
0.03352, 0.25618, 10.20169, 0.00093, 0.03677, 0.01079, 31.71974
0.02394, 0.26815, 10.28070, 0.01132, 0.01799, 0.00919, 31.52805
0.07183, 0.21548, 10.32619, 0.00560, 0.00586, 0.01319, 31.38428
0.04070, 0.25139, 10.26634, 0.00426, -0.00573, 0.01146, 31.67182
0.04788, 0.27054, 10.29267, 0.00533, 0.01905, 0.01545, 31.67182
0.06464, 0.27533, 10.37647, 0.00386, 0.01905, 0.01466, 31.57597
0.03591, 0.23224, 10.29986, -0.00053, -0.01026, 0.00959, 31.38428
0.04310, 0.25139, 10.28070, 0.00067, 0.02478, 0.01092, 31.48013
0.09337, 0.28012, 10.37168, -0.00453, 0.02638, 0.01892, 31.24051
0.09577, 0.24421, 10.27112, 0.00413, 0.06129, 0.00706, 31.57597
0.02634, 0.25139, 10.24239, 0.00560, -0.00453, 0.01239, 31.57597
0.06704, 0.29209, 10.27112, 0.00013, 0.04397, 0.01172, 31.38428
0.03112, 0.22984, 10.20409, 0.00373, 0.01053, 0.01386, 31.57597
0.09816, 0.19154, 10.27831, 0.00440, 0.04050, 0.01692, 31.71974
0.05746, 0.26815, 10.35492, 0.00853, 0.01506, 0.01426, 31.67182
0.02873, 0.24660, 10.32380, 0.00253, 0.04157, 0.01532, 31.71974
0.12689, 0.25379, 10.34774, 0.00746, 0.02531, 0.00839, 31.57597
0.04549, 0.24660, 10.20888, 0.00187, 0.00213, 0.01506, 31.52805
0.08140, 0.24421, 10.30943, -0.00027, 0.01452, 0.01066, 31.48013
-0.01676, 0.28491, 10.26155, 0.00293, 0.05502, 0.01439, 31.33636
