ax (m/s^2), ay (m/s^2), az (m/s^2), gx (rps), gy (rps), gz (rps), temp (C)
9.94791, -0.06464, -0.14605, 0.00053, 0.01239, 0.01212, 32.72612
9.97903, -0.00239, -0.16041, 0.00480, 0.03517, 0.01732, 32.53443
9.99340, -0.02873, -0.18196, 0.00173, 0.01719, 0.01865, 32.63028
9.97664, -0.03591, -0.19154, -0.00333, 0.03837, 0.01998, 32.82197
10.00537, -0.04788, -0.21308, 0.00466, 0.04237, 0.01839, 32.58235
9.97424, -0.02634, -0.19393, 0.00759, 0.00826, 0.00693, 32.39066
9.98143, -0.01197, -0.13886, -0.00133, 0.01146, 0.01625, 32.77404
10.01255, -0.01437, -0.20590, 0.00107, 0.02851, 0.02638, 32.53443
10.00776, -0.03591, -0.20590, -0.00093, 0.02691, 0.01639, 32.43858
9.96467, -0.04310, -0.26097, 0.00466, 0.01772, 0.01053, 32.43858
9.95030, -0.02634, -0.19872, 0.00093, 0.02385, 0.01332, 32.58235
9.94791, -0.00958, -0.15562, -0.00373, 0.03517, 0.01492, 32.63028
9.96706, -0.06464, -0.19632, 0.00946, 0.02065, 0.01426, 32.63028
10.00537, -0.10056, -0.20590, 0.00946, 0.01599, 0.00986, 32.77404
9.98143, -0.07183, -0.22266, 0.00626, 0.02225, 0.01625, 32.43858
10.00537, -0.03591, -0.24660, 0.00746, 0.06142, 0.01852, 32.58235
10.00776, -0.02634, -0.24421, 0.00053, -0.00200, 0.01692, 32.58235
9.99100, -0.00479, -0.22745, -0.00147, 0.01892, 0.02052, 32.39066
10.03410, 0.00239, -0.22505, 0.00533, 0.04117, 0.02531, 32.58235
9.94791, -0.01676, -0.14844, -0.00053, 0.02105, 0.01039, 32.63028
10.00058, -0.00958, -0.17478, 0.00453, 0.03704, 0.01119, 32.58235
9.96946, -0.03112, -0.22027, 0.00640, 0.02292, 0.01372, 32.63028
9.98143, -0.00239, -0.18914, 0.00400, 0.02891, 0.01212, 32.72612
9.99819, -0.03352, -0.22266, 0.00666, 0.03704, 0.01386, 32.72612
10.00776, -0.00958, -0.20590, 0.00573, 0.01945, 0.01186, 32.82197
10.02692, -0.04788, -0.23942, -0.00160, 0.02358, 0.01545, 32.63028
9.93594, -0.03112, -0.21308, 0.00586, 0.04916, 0.01825, 32.63028
9.99819, -0.00958, -0.22505, -0.00266, 0.03238, 0.02025, 32.58235
9.96467, -0.03591, -0.31364, 0.00213, 0.04157, 0.01132, 32.77404
9.99340, -0.02634, -0.24181, 0.00293, 0.02132, 0.01452, 32.43858
9.97903, -0.07901, -0.26815, -0.00187, 0.03304, 0.01825, 32.58235
10.00537, -0.04070, -0.28012, 0.00147, 0.04876, 0.01865, 32.58235
10.02452, -0.03352, -0.20111, 0.00333, 0.01985, 0.01266, 32.53443
10.01495, -0.01437, -0.24900, -0.00120, 0.02025, 0.01119, 32.58235
10.02931, -0.05746, -0.22266, 0.00693, 0.03238, 0.01359, 32.58235
10.02213, -0.07183, -0.20590, 0.00120, 0.03158, 0.02598, 32.63028
9.99819, -0.02873, -0.25618, 0.00360, 0.04370, 0.02318, 32.77404
10.01495, -0.01676, -0.24900, -0.00386, 0.01879, 0.01665, 32.58235
9.97903, -0.03352, -0.20830, -0.00133, 0.02904, 0.02092, 32.72612
9.97185, -0.04788, -0.22266, -0.00107, 0.01692, 0.01079, 32.72612
9.96706, -0.04549, -0.20830, 0.00640, 0.01545, 0.01359, 32.72612
9.98861, -0.04549, -0.23463, 0.00253, 0.03677, 0.01439, 32.72612
9.95988, -0.04070, -0.22505, 0.00400, 0.01879, 0.01466, 32.72612
10.01016, -0.02873, -0.21548, -0.00520, 0.02625, 0.01705, 32.82197
10.01973, -0.02873, -0.25139, 0.00373, 0.01492, 0.00693, 32.77404
10.00776, -0.04788, -0.25379, 0.00400, 0.03970, 0.01839, 32.72612
9.96467, -0.00958, -0.24181, 0.00147, 0.01026, 0.01212, 32.72612
9.94791, -0.04070, -0.23703, -0.00306, -0.00426, 0.01545, 32.53443
10.02452, -0.04310, -0.33279, 0.00093, 0.01665, 0.01106, 32.72612
9.95509, -0.03591, -0.26815, 0.00413, 0.01652, 0.00573, 32.58235
9.94073, -0.06704, -0.30167, 0.00506, 0.02292, 0.01239, 32.58235
9.98861, -0.01676, -0.25618, 0.00493, 0.04397, 0.02958, 32.58235
9.99579, -0.02394, -0.29209, 0.00466, 0.02145, 0.01612, 32.72612
9.96467, -0.05507, -0.25379, 0.00640, 0.00799, 0.00666, 32.72612
9.97903, -0.03112, -0.26815, 0.00600, 0.01719, 0.01372, 32.77404
9.99819, -0.05267, -0.28970, 0.00173, 0.03357, 0.01159, 32.63028
9.98622, -0.06704, -0.30406, 0.00746, 0.04370, 0.01825, 32.43858
9.97903, 0.01915, -0.25857, 0.00226, 0.00799, 0.01466, 32.72612
9.96946, -0.03352, -0.25857, -0.00253, 0.01199, 0.01719, 32.58235
